"Name","Year","Directors","Producers","Actors"
"Serpico","1973","Sidney Lumet","Martin Bregman","Al Pacino, John Randolph, Jack Kehoe, Edward Grover, Tony Roberts, Barbara Eda-Young, Cornelia Sharpe, Biff McGuire, Allan Rich, Norman Ornellas, John Medici, Bernard Barrow, M. Emmet Walsh, John McQuade, Nathan George, Gus Fleming, Judd Hirsch, F. Murray Abraham, George Ede, Albert Henderson, Hank Garrett, Damien Leake, Joseph Bova, Gene Gross, John Stewart, Woodie King Jr., James Tolkan, Ed Crowley, Sal Carollo, Mildred Clinton, Richard Foronjy, Alan North, Lewis J. Stadlen, Ted Beniades, John Lehne, Charles White, Don Billett, Raleigh Bond, John Brandon, James Bulleit, Roy Cheverie, Sam Coppola, Marjorie Eliot, René Enríquez, Conard Fowkes, Frank Gio, Trent Gough, Paul E. Guskin, Bianca Hunter, Richard Kuss, Tony Lo Bianco, George Loros, Kenneth McMillan, Stephen Pearlman, Tim Pelt, William Pelt, Jay Rasumny, Franklin Scott, Tom Signorelli, Ben Slack, Jaime Sánchez, Tracey Walter, Mary Louise Weller"
"Midway","1976","Jack Smight","Walter Mirisch","Charlton Heston, Henry Fonda, Robert Mitchum, Cliff Robertson, Tom Selleck, Robert Wagner, Glenn Ford, James Coburn, Hal Holbrook, Beeson Carroll, Clyde Kusatsu, Dabney Coleman, Toshiro Mifune, Edward Albert, Monte Markham, Erik Estrada, Ed Nelson, Robert Webber, James Shigeta, Pat Morita, Glenn Corbett, Biff McGuire, John Bennett Perry, Christina Kokubo, Christopher George, Kevin Dobson, Gregory Walcott, John Fujioka, Dale Ishimoto, Larry Pennell, Phillip R. Allen, Sab Shimono, Conrad Yama, Robert Ito, Yuki Shimoda, Seth Sakai, Kurt Grayson, Alfie Wise, Steve Kanaly, Kip Niven, Dennis Rucker, Michael Richardson, James Ingersoll, Jeff Chamberlain, Sam Chew Jr., Larry Csonka, Jesse Dizon, Paul Frees, Jerry Fujikawa, Sean Garrison, Ned Gill, Redmond Gleeson, Anthony Herrara, David Hirokane, Jim Ishida, Lloyd Kino, John Lupton, David Macklin, Sandy McPeak, Steve Moriarty, Steve Moriarty, Chuck Morrell, Richard Narita, Yosuke Natsuki, Bennett Ohta, Frank Parker, Clint Ritchie, Mitchell Ryan, Richard Sarradet, John Schuck, Don Dolan, Noel Conlon, Richard Sanders, Alec Smight, Susan Sullivan, Miiko Taka, William Wellman Jr."
"The Great Santini","1979","Lewis John Carlino","Charles A. Pratt","Robert Duvall, Blythe Danner, Michael O'Keefe, Stan Shaw"
"Masada","1981","Boris Sagal","Richard Irving","Barbara Carrera, David Warner, Richard Basehart, Peter O'Toole, Anthony Quayle, Giulia Pagano, Peter Strauss, Reuven Bar Yotam"
"Ragtime","1981","Miloš Forman","Dino De Laurentiis","James Cagney, Brad Dourif, Mary Steenburgen, Howard Rollins, Ethan Phillips, James Olson, Pat O'Brien, Elizabeth McGovern, Moses Gunn, Kenneth McMillan, Jack Nicholson, Samuel L. Jackson, Fran Drescher, Debbie Allen, Mandy Patinkin, Donald O'Connor, Ted Ross, Dorsey Wright, Jeff Daniels, Michael Jeter, John Alderson, Robert Dorning, Eloise Taylor, Jeffrey DeMunn, Robert Joy, Norman Mailer, Bruce Boa, Hoolihand Burke, Hoolihand Burke, Hoolihand Burke, Norman Chancer, Edwin Cooper, Frankie Faison, Hal Galili, Alan Gifford, Richard Griffiths, Calvin Levels, Bessie Love, Christopher Malcolm, Herman Meckler, Billy J. Mitchell, Jenny Nichols, Max Nichols, Zack Norman, Don Plumley, Robert Arden, Robert Boyd, Thomas A. Carlin, John Clarkson, Brian F. Dean, Harry Ditson, Geoffrey Greenhill, Ray Hassett, Robert Hitt, Rodney James, George Harris, George J. Manos, Val Pringle, Ron Weyand, Sonny Abagnale, Nesbitt Blaisdell, Chaim Blatter, Donald Bisset, Josh Clark, Robert Coffin, Patrick Connor, Joel Cutrara, Jake Dengel, Barry Dennen, Natalia Dobrer, Daniel Foley, Gretchen Franklin, Pat Gorman, Guy Gregory, Dave Griffiths, Jeff Harding, Robert Henderson, Colette Hiller, Patrick M. Hughes, Elaine Ives-Cameron, Andreas Katsulas, Douglas Lambert, Pavel Landovský, Norris Church Mailer, Derek Martin, Al Matthews, Stuart Milligan, Richard Oldfield, Nelly Polissky, Mike Potter, Anthony Powell, Joe Praml, John Ratzenberger, Bill Reimbold, Bob Sherman, Tony Sibbald, Stan Simmons, John Sterland"
"First Blood","1982","Ted Kotcheff","Buzz Feitshans","Sylvester Stallone, Richard Crenna, Brian Dennehy, David Caruso, Jack Starrett, Bill McKinney, Bruce Greenwood, Stephen Chang, Patrick Stack, Alf Humphreys, Michael Talbott, Chris Mulkey, John McLiam, Craig Huston, David Petersen, David L. Crowley, Charles A. Tamburro"
"Little Gloria... Happy at Last","1982","Waris Hussein","","Angela Lansbury, Bette Davis"
"Testament","1983","Lynne Littman","","Lukas Haas, Roxana Zal, Jane Alexander, William Devane, Mako Iwamatsu, Ross Harris, Leon Ames, Kevin Costner, Lurene Tuttle, Lilia Skala, Rebecca De Mornay, Philip Anglim, Gerry Murillo"
"Once Upon a Time in America","1984","Sergio Leone","Arnon Milchan","Robert De Niro, James Woods, Elizabeth McGovern, Burt Young, Tuesday Weld, Jennifer Connelly, Joe Pesci, Darlanne Fluegel, Treat Williams, James Hayden, Danny Aiello, Richard Bright, Brian Bloom, James Russo, Mario Brega, William Forsythe, Dutch Miller, Larry Rapp, Robert Harper, Richard Foronjy, Adrian Curran, Alexander Godfrey, Amy Ryder, Angelo Florio, Ann Neville, Arnon Milchan, Baxter Harris, Bruce Bahrenburg, Bruno Iannone, Chuck Low, Clem Caserta, Cliff Cudney, Estelle Harris, Ryan Paris, Francesca Leone, Frank Gio, Frank Sisto, Frankie Caserta, Gerard Murphy, Gerritt Debeer, Jay Zeely, Jerry Strivelli, Joey Faye, Joey Marzella, Julie Cohen, Karen Shallo, Linda Ipanema, Marcia Jean Kurtz, Marty Licata, Marvin Scott, Massimo Liti, Matteo Cafiso, Mike Gendel, Mike Monetti, Mort Freeman, Nelson Camp, Noah Moazezi, Olga Karlatos, Paul Farentino, Paul Herman, Ray Dittrich, Richard Zobel, Ron Nummi, Rusty Jacobs, Rusty Jacobs, Salvatore Billa, Sandra Solberg, Scott Coffey, Scott Schutzman Tiler, Susan Spafford, Tandy Cronyn"
"Threads","1984","Mick Jackson","Mick Jackson","Karen Meagher, Reece Dinsdale, David Brierly, Rita May, Nicholas Lane, Jane Hazlegrove, Henry Moxon, June Broughton, Sylvia Stoker, Harry Beety"
"Action Jackson","1988","Craig R. Baxley","Joel Silver, Steve Perry","Carl Weathers, Vanity, Craig T. Nelson, Sharon Stone, Roger Aaron Brown, Thomas F. Wilson, Robert Davi, Bill Duke, Jack Thibeau, Stan Foster, Mary Ellen Trainor, Ed O'Ross, Robert Lee Minor, David Glen Eisley, Dennis Hayden, Brian Libby, David Efron, Alonzo Brown, Diana James, Matt Landers, Thomas Wagner, Deidre Conrad, William H. Burton, Preston Hanson, Ivor Barry, Al Leong, John Lyons, Glenn R. Wilder, Steve Vandeman, Michael McManus, De'voreaux White, Melissa Prophet, Prince Hughes, Jim Haynie, Edgar Small, James Lew, Nicholas Worth, Chino 'Fats' Williams, Christopher Broughton, Charles Meshack, Miguel A. Núñez Jr., Branscombe Richmond, Richard L. Duran, Armelia McQueen, Sonny Landham, Susan Lentini, Kenneth B. Belsky, Francis X. McCarthy, Ronnie Carol, Tom Druilhet, J. Mills Goodloe, Dominic Jack Pizzo Sr."
"Dead Ringers","1988","David Cronenberg","Marc Boyman, David Cronenberg","Jeremy Irons, Geneviève Bujold, Stephen Lack, Lynne Cormack, Heidi Von Paleske, Damir Andrei, Shirley Douglas, Miriam Newhouse, Jeremy Irons, Barbara Gordon, Nick Nichols, Nicholas Haley, Jonathan Haley, Jacqueline Hennessy, Jill Hennessy"
"The Player","1992","Robert Altman","David Brown, Michael Tolkin, Nick Wechsler, Cary Brokaw","Tim Robbins, Fred Ward, Greta Scacchi, Whoopi Goldberg, Sydney Pollack, Lyle Lovett, Scott Glenn, Jayne Meadows, Felicia Farr, Cynthia Stevenson, Brad Davis, Brion James, Peter Gallagher, Vincent D'Onofrio, Dean Stockwell, Richard E. Grant, Gina Gershon, David Alan Grier, Jeremy Piven, Peter Falk, Jeff Goldblum, John Cusack, Steve Allen, Julia Roberts, Bruce Willis"
"School Ties","1992","Robert Mandel","Stanley R. Jaffe, Sherry Lansing","Brendan Fraser, Matt Damon, Chris O'Donnell, Randall Batinkoff, Andrew Lowery, Cole Hauser, Anthony Rapp, Ben Affleck, Amy Locane, Željko Ivanek, Peter McRobbie, Ed Lauter, Peter Donat, Michael Higgins, Kevin Tighe, John Cunningham, Elizabeth Franz, Matt Hofherr, Jeff Hochendoner, R.E. Rodgers, John Speredakos, Ed Seamon, Dan Desmond, Claudia Everest, Leon B. Stevens, Cody Conklin, Benari Poulten, Stanton Denman, Sean Kent, Luke Jorgensen, Kent Osborne, Jayce Bartok, Jeff Nichols, James Donnell Quinn, Ryan Anderson, Will Lyman, William Meisle, Susan Johnston, Sandra Landers, Ken Garito, Karen Shallo, Gregory Chase, Alice Duffy, Thomas Kee, Jane Nichols, Colin F. Lydon, David Caldwell Allen, Eric Bruno Borgman, Scott J. Fisher, Mark Garrigus, Professor Lyrical, Seth William Meier"
"Searching for Bobby Fischer","1993","Steven Zaillian","William Horberg, Scott Rudin","Max Pomeranc, Joe Mantegna, Laurence Fishburne, Ben Kingsley, Joan Allen, Robert Stephens, Laura Linney, David Paymer, Tony Shalhoub, Michael Nirenberg, Hal Scardino, Vasek Simek, William H. Macy, Dan Hedaya, Laura Linney, Anthony Heald, Steven Randazzo, Chelsea Moore, Josh Mostel, Josh Kornbluth, Austin Pendleton, Tom McGowan, Ona Fletcher, Jerry Poe McClinton, Matt De Matt, Robert Vincent Smith, Jerry Rakow, William Colgate, Tony De Santis, R. D. Reid, Anthony McGowen, Katya Waitzkin, Ryder Fleming-Jones, Harris Krofchick, John Bourgeois, Maria Ricossa, Caroline Yeager, Andrew Sardella, Nathan Carter, Nicholas Taylor, Jonathan Fazio, Nicky Mellina, Philip Neiman, Elizabeth Gropman, Matt Birman, Bruce Pandolfini"
"Short Cuts","1993","Robert Altman","Cary Brokaw","Fred Ward, Andie MacDowell, Bruce Davison, Tim Robbins, Julianne Moore, Tom Waits, Lili Taylor, Lily Tomlin, Anne Archer, Matthew Modine, Lori Singer, Madeleine Stowe, Robert Downey Jr., Frances McDormand, Jennifer Jason Leigh, Buck Henry, Jack Lemmon, Huey Lewis, Lyle Lovett, Chris Penn, Peter Gallagher, Annie Ross, Joseph C. Hopkins, Josette Maccario, Zane Cassidy"
"12 Monkeys","1995","Terry Gilliam","Charles Roven","Bruce Willis, Madeleine Stowe, Brad Pitt, David Morse, Christopher Plummer, Christopher Meloni, Jon Seda, Rick Warner, Michael Chance, Joseph Melito, Vernon Campbell, H. Michael Walls, Bob Adrian, Simon Jones, Carol Florence, Bill Raymond, Ernest Abuba, Irma St. Paule, Joey Perillo, Bruce Kirkpatrick, Wilfred Williams, Rozwill Young, Nell Johnson, Frederick Strother, Frank Gorshin, Anthony 'Chip' Brienza, Joilet Harris, Drucie McDaniel, John Blaisse, Louis Lippa, Stan Kang, Pat Dias, Aaron Michael Lacey, Charles Techman, Jann Ellis, Johnnie Hobbs Jr., Janet Zappala, Thomas Roy, Harry O'Toole, Harry O'Toole, Korchenko, Chuck Jeffreys, Lisa Gay Hamilton, Felix Pire, Matt Ross, Barry Price, John Panzarella, Larry Daly, Arthur Fennell, Karl Warren, Paul Meshejian, Robert O'Neill, Kevin Thigpen, Lee Golden, Joseph McKenna, Jeff Tanner, Faith Potts, Michael Ryan Segal, Annie Golden, Lisa Talerico, Stephen Bridgewater, Ray Huffman, Jodi Dawson, Jack Dougherty, Lenny Daniels, Herbert C. Hauls Jr., Charley Scalies, Carolyn Walker, Tiffany Baldwin, C.J. Byrnes, Phillip V. Caruso, Tom Detrik, Joe Gerety, Laura Glas, John Hagy, Adam Hatley, Bonnie Loev, Julie Mabry, Raymond Mamrak, Sal Mazzotta, Roger Pratt, Allelon Ruggiero, Richard Stanley, Thang"
"The Addiction","1995","Abel Ferrara","Russell Simmons, Denis Hann, Fernando Sulichin","Lili Taylor, Annabella Sciorra, Christopher Walken, Edie Falco, Michael Imperioli, Fredro Starr, Kathryn Erbe, Paul Calderón, Jamal Simmons, Michael A. Fella, John Vincent McEvily"
"Dead Homiez","1999","Billy Wright","","Treyvon Green, Cynthia Berry, Shannon Luckey"
"Shine","1996","Scott Hicks","Jane Scott","Geoffrey Rush, Noah Taylor, Armin Mueller-Stahl, Alex Rafalowicz, Nicholas Bell, Helen Dowell, Chris Haywood, Maria Dafnero, Richard Hansell, Googie Withers, John Cousins, John Gielgud, Sonia Todd, David King, Danielle Cox, Marta Kaczmarek, Justin Braine, Marc Warren, Rebecca Gooden, Louise Dorling, Randall Berger, Robert Hands, Lynn Redgrave"
"The Boxer","1997","Jim Sheridan","Jim Sheridan, Arthur Lappin","Emily Watson, Daniel Day-Lewis, David McBlain, Eleanor Methven, Maria McDermottroe, Gerard McSorley, Brian Cox, Ciaran Fitzgerald, Joan Sheehy, Peter Sheridan, Ken Stott, Kenneth Cranham, Daragh Donnelly, Frank Coughlan, Sean Kearns, Lorraine Pilkington, Niall Shanahan, John Wall, Carol Scanlan, Kate Perry, Andrea Irvine, Joan McGarry, Theresa McComb, Catherine Dunne, Kerrie Duggan, Sharon Dunne, Derbhla McClelland, Oliver Maguire, Sandra Corbally, Tess Sheridan, David Hayman, Paul Sheridan, John Sheridan, Pat Mulryan, Peter O'Donoghue, Martin Dunne, Tommy O'Neill, Maurice Henry, Josie Doherty, Joseph Rea, Larry Byrne, Joe Gallagher, Sean Brunett, James Hayes, Richie Pigott, Jack Waters, Padraig O'Neill, Mark Mulholland, John Cowley, Don Foley, Tim McDonnell, Philip Sutcliffe, Britta Smith, Gavin Kennedy, Eamon Brown, Martin Lynch, Gavin Brown, Noel O'Donovan, Joe Colgan, Damien Denny, Nye Heron, Paul Ronan, Liam Carney, Veronica Duffy, Des Braiden, Joan Brosnan Walsh, Sean Donaghy, Brian Milligan, Vinny Murphy, Mick Nolan, Berts Folan, Juliet Cronin, Kirsten Sheridan, Brian Russell, Mick Tohill, Ian McElhinney, Conor Bradford, Anna Meegan, Al Morris, Ian Thompson, Paul Wesley, Michael James Ford, John Cooke, Cornelius Carr, Norman Kelly, Gerry Storey, Fred Tiedt, Clayon Stewart, Jer O'Leary, Jules Kingelesi, Dennis Mika, David Heap, John Hewitt, Janine McGuinness, Tom Maguire, Reamonn O'Byrne, Tom Bell, Tony Doyle, Tania Grier"
"In the Company of Men","1997","Neil LaBute","Mark Archer, Stephen Pevner","Aaron Eckhart, Stacy Edwards, Matt Malloy"
"The Apple","1980","Menahem Golan","Yoram Globus, Menahem Golan","Catherine Mary Stewart, George Gilmour, Vladek Sheybal, Joss Ackland, Miriam Margolyes, Derek Deadman, Leslie Meadows, Ray Shell"
"Deep Impact","1998","Mimi Leder","Richard D. Zanuck, David Brown","Elijah Wood, Leelee Sobieski, Robert Duvall, Téa Leoni, James Cromwell, Dougray Scott, Kurtwood Smith, Mary McCormack, Vanessa Redgrave, Morgan Freeman, Blair Underwood, Mark Moses, Laura Innes, Maximilian Schell, Jon Favreau, Richard Schiff, Ron Eldard, Derek de Lint, Denise Crosby, Mike O'Malley, Jason Dohring, Charles Martin Smith"
"October Sky","1999","Joe Johnston","Charles Gordon, Larry J. Franco","Jake Gyllenhaal, Chris Cooper, Laura Dern, William Lee Scott, Chad Lindberg, Chris Owen, Elya Baskin, Kailie Hollister, Scott Miles, Courtney Cole-Fendley, Randy Stripling, David Dwyer, Terry Loughlin, Chris Ellis, Natalie Canerday, David Copeland, Don Henderson Baker, Tom Kagy, Donald Thorne, Justin Whitsett, Larry Rue, Neva Howell, Terry Nienhuis, Brady Coleman, Rick Forrester, Terrence Gibney, Doug Swander, Keeli Hale Kimbro, Mark Jeffrey Miller, Blake Fowler, Don Tilley, Rockford Davis, John Bennes, Jonathan Fawbush, Larry Black, Frank Schuler, Tommy Smeltzer, Charles Lawlor, Tom Turbiville, Ida Ginn, Richard Lumpkin, Mark W. Johnson, Don Taylor, Don G. Campbell, Liz Byler, Bradford Ryan Lund, Frank Hoyt Taylor, Dave Hager, Ray Elder, Andrew Stahl, Joe Digaetano, Thomas Taylor, David Ducey, Jenny Patterson, O. Winston Link, Brian Keith, Shawn Lindsay"
"The Sixth Sense","1999","M. Night Shyamalan","Frank Marshall, Barry Mendel, Kathleen Kennedy","Bruce Willis, Haley Joel Osment, Toni Collette, Olivia Williams, Donnie Wahlberg, Mischa Barton, Glenn Fitzgerald, Angelica Page, Trevor Morgan, M. Night Shyamalan, Peter Anthony Tambakis, Jeffrey Zubernis, Samia Shoaib, Greg Wood, Firdous Bamji, Lisa Summerour"
"Pollock","2000","Ed Harris","Fred Berner, Ed Harris, Jon Kilik, James Francis Trezza","Ed Harris, Marcia Gay Harden, Stephanie Seymour, Bud Cort, Val Kilmer, Amy Madigan, Jennifer Connelly, John Heard, Sally Murphy, Molly Regan, Tom Bower, David Leary, Robert Knott, Matthew Sussman, Jeffrey Tambor, Sada Thompson, Norbert Weisser, Eulala Grace Scheel, Everett Quinton, Annabelle Gurwitch, John Rothman, Kenny Scharf, Tom McGuinness, Katherine Wallach, Cassandra Clewicki, Sloane Shelton, Eduardo Machado, Moss Roberts, Robert O'Neill, Isabelle Townsend, Jennifer Piech, Rebecca Wisocky, Linda Emond, Tony Palazzolo, Barbara Garrick, Claire Beckman, David Cale, Stephen Beach, Jill Jackson, Donna Mitchell, Sondra Jablonski, Frank Wood, Julie Anna Rose, Kyle Timothy Smith, April Petroski, Nicholas Petroski, Noah Petroski, Robert L. Harris, John Madigan, Matthew Hart Landfield, John Nesci"
"Mulholland Drive","2001","David Lynch","Mary Sweeney, Alain Sarde, Neal Edelstein, Michael Polaire, Tony Krantz","Naomi Watts, Laura Harring, Justin Theroux, Ann Miller, Dan Hedaya, James Karen, Michael J. Anderson, Mark Pellegrino, Chad Everett, Melissa George, Katharine Towne, Michele Hicks, Robert Forster, Tony Longo, Lee Grant, Billy Ray Cyrus, Scott Coffey, Brent Briscoe, Mo Gallini, Brian Beacock, Lori Heuring, Rita Taggart, Angelo Badalamenti, Michael Des Barres, Marcus Graham, Missy Crider, Robert Katims, Jeanne Bates, Dan Birnbaum, Randall Wulff, Maya Bond, Patrick Fischler, Michael Cooke, Bonnie Aarons, Joseph Kearney, Enrique Buelna, Richard Mead, Sean Everett, Daniel Rey, David Schroeder, Tom Morris, Vincent Castellanos, Diane Nelson, Charles Croughwell, Rena Riffel, Tad Horino, Geno Silva, Monty Montgomery, Kate Forster, Wayne Grace, Lisa K. Ferguson, William Ostrander, Lisa Lackey, Brian Beacock, Blake Lindsley, Adrien Curry, Tyrah M. Lindsey, Michael D. Weatherred, Michael Fairman, Johanna Stein, Richard Green, Conte Candoli, Cori Glazer, Lyssie Powell, Kimberly Clever, Joshua Collazo, David Frutos, Peter Loggins, Theresa Salazar, Thea Samuels, Christian Thompson, Jehshua Barnes, Elina Madison, Marc Kenneth Robinson, Samantha Schacher, Desi Singh, Rebekah Del Rio, Naomi Watts, Geno Silva"
"The Others","2001","Alejandro Amenábar","Fernando Bovaira, José Luis Cuerda, Sunmin Park","Nicole Kidman, Christopher Eccleston, Fionnula Flanagan, Alakina Mann, Elaine Cassidy, Eric Sykes, James Bentley, Keith Allen, Michelle Fairley, Alexander Vince, Yasmin Paige, Renée Asherson, Gordon Reid"
"Party Monster","2003","Fenton Bailey, Randy Barbato","Christine Vachon, Randy Barbato, Bradford Simpson, Fenton Bailey, Jon Marcus, Edward R. Pressman, John Wells, Michael J. Werner, Wouter Barendrecht","Natasha Lyonne, Mia Kirshner, Macaulay Culkin, Wilson Cruz, Seth Green, Diana Scarwid, Wilmer Valderrama, Dylan McDermott, Daniel Franzese, Chloë Sevigny, Marilyn Manson, John Stamos, Manny Pérez, Justin Hagan, Elliot Kriss, John Summerour, Janis Dardaris, Dillon Woolley, Brendan O'Malley, Phillip Knasiak, Michael Kaycheck, Steven Marcus, Angel Anes, Joey Gray, Amanda Lepore, Walt Cassidy, Richie Rich, Sacred Schneidmiller, James Sheldon"
"Radio","2003","Michael Tollin","Herb Gains, Brian Robbins, Michael Tollin","Cuba Gooding Jr., Ed Harris, Alfre Woodard, S. Epatha Merkerson, Brent Sexton, Riley Smith, Debra Winger, Chris Mulkey, Sarah Drew, Patrick Breen, Bill Roberson, Kenneth H. Callender, Michael Harding, Charles Garren, Rebecca Koon, Hi Bedford Roberson, Michael Kroeker, Mark Robert Ellis, Ron Shelley, Evan Aldrich, Megan Coffman, Benjamin L. Peters Jr., Leonard Wheeler, Therond Justin Adams, Othello Coleman III, Bert Beatson, Ty O'Farrell, Dorothy McDowell, Jim Gooden, Joseph E.G. Barrett, Deborah McTeer, Jamie Murdaugh, Eugene Cryer Jr., William E. Lykes, Tammy Arnold, Kasheem J. Peterson, Kate Powell, Michael Flippo, James Barrett, James Barrett, James Barrett, Jared Bealer, Hi Bedford Roberson, Josh Berger, Jerome Bethea, Austen Brown, Patricia Buckley-Moss, Terrell Byrd, Wayne Capps, Russell Cook, Leslea Fisher, Craig S. Harper, Jim Keisler, Jim Keisler, Lynda Keisler, Lindy Newton, Kelvin O'Bryant, Eynne Ray, Ernest Whitted, Ernest Whitted, Kevin Woods"
"Tears of the Sun","2003","Antoine Fuqua","Mike Lobell, Arnold Rifkin, Ian Bryce","Bruce Willis, Monica Bellucci, Cole Hauser, Eamonn Walker, Johnny Messner, Chad Smith, Tom Skerritt, Paul Francis, Charles Ingram, Nick Chinlund, Malick Bowens, Akosua Busia, Hadar Busia-Singleton, Awaovieyi Agie, Ida Onyango, Fabrice Yahve Habimana Jr., Sammi Rotibi, Benjamin Ochieng, Jimmy Jean-Louis, Fionnula Flanagan, Cornelia Hayes O'Herlihy, Pierrino Mascarino, Peter Mensah, Howard Mungo, Kanayo Chiemelu, Nkeonye Nwankwo, Alpha Osman Davis, Morris Sesay, Cle Shaheed Sloan, Kobby Dankyi, Lahai Fahnbulleh, Allison Dean, Rodney Charles, Jewel McDonald, George Reid, Yannick Doth, Ousmane Sall, Harry Van Gorkum, Michael Clossin, Randall J. Gillet, William Wood, Chinyere A. Joyce, Martha Neavill, Gerald Michael Burch, Frederick Harris Jr., Elton C. Garner Jr., Floyd W. Vaughn, John Anyak, Ganohon Ansansame, Kelani Babatunde, Pele Leba Castro, Haddy Cham, Mariama Cisse, Nafissatou Cisee, Ngone' Dia, Khady Dieng, Fortune Diginee, Fidelis Ezch, Awino Gam, Santino Garang, Josanne Hutchinson, Evelyn Kabba, Fatmata Kargbo, Hannah Koroma, Gabriel Magok, Sarah M. Mansaray, Sophia Mark, Abraham Nhiany, Nathaniel Nyok, Christiana Obani, Esther Quaye, Martha Quaye, Alice B. Shaw, Antonio Suco, Faustino Suco, Carmel Nyirabimana-Izuba, Mark Bedell, Justin Rodgers Hall, Jordan Kirkwood, Franky Mwangi, Anthony Vaughan"
"You Got Served","2004","Chris Stokes","Marcus Morton, Billy Pollina, Cassius Weathersby","Lil' Kim, Omarion, Marques Houston, Jennifer Freeman, Christopher Jones, Steve Harvey, Meagan Good, Robert Hoffman, Malcolm David Kelley, Michael Taliferro, J-Boog, Raz-B, Lil' Fizz, Columbus Short, Young Rome, Marty Dew, Tanee McCall"
"The Constant Gardener","2005","Fernando Meirelles","Simon Channing Williams","Ralph Fiennes, Rachel Weisz, Bill Nighy, Danny Huston, Archie Panjabi, John Sibi-Okumu, Pete Postlethwaite, Hubert Koundé, Daniele Harford, Bernard Otieno Oduor, Damaris Itenyo Agweyu, Keith Pearson, Gerard McSorley, Donald Sumpter, Nick Reding, Juliet Aubrey, Packson Ngugi, Chris Lightburn-Jones, Jacqueline Maribe, Donald Apiyo, Samuel Otage, Mumbi Kaigwa, John Moller, Andre Leenheer, Lydia M. Manyasi, Steenie Njoroge, Stuart Wheeler, Chris Payne, Nyajima Jial, Brigid M. Kakenyi, Katherine Damaris, Christopher Odhiambo Okinda, Ainea Ojiambo, Peter King Nzioki, Ng'ang'a Kirumburu, Ben Parker, John Keogh, Jeffrey Caine, Richard McCabe, Rupert Simonian, Teresa Harder, Thomas Chemnitz, Joe Christopher Rhode, Edgar Nicholas Rhode, Eva Plackner, Claire Simpson, Sidede Onyulo, Ann Achan, Dang Wuor Diew, Ben Gardiner, Lucy Achieng, Elizabeth Karanja, Sele Mzamil, Suleiman Bakari, Juma Musa, Jane Obada, Florence Chamba, Triza Musimbi, Benson Obiva, Ibrahim Chitaya, Eric Mutua, Leonard Ongaya, Abdallah Juma, Anne Mwikali, James Osoo, Elzabeth Karanja, Denis Schnegg, Anneke Kim Sarnau"
"Empire Falls","2005","Fred Schepisi","","Robin Wright, Joanne Woodward, Paul Newman, Ed Harris, Helen Hunt, Josh Lucas, Danielle Panabaker, Philip Seymour Hoffman"
"The Squid and the Whale","2005","Noah Baumbach","Wes Anderson, Charles Corwin, Clara Markowicz, Peter Newman","Jeff Daniels, Laura Linney, Jesse Eisenberg, Owen Kline, Anna Paquin, William Baldwin, David Benger, Peggy Gormley, Greta Kline, Adam Rose, Halley Feiffer, Eli Gelb, Peter Newman, Henry Glovinsky, Alexandra Daddario, Molly Barton, Bo Berkman, Matthew Kaplan, Simon Kaplan, Matthew Kirsch, Daniella Markowicz, Elizabeth Meriwether, Ben Schrank, Amy Srebnick, Josh Srebnick, Emma Straub, Alan Wilkis, James Hamilton, Wayne Lawson, Michael Santiago, Juan Torriente, Patricia Towers, Melissa Meyer, Benjamin Smolen, Michael Countryman, Nico Baumbach, Maryann Plunkett, Hector Otero, Ken Leung, Jo Yang, Joyce DeWitt"
"Syriana","2005","Stephen Gaghan","Georgia Kacandes, Michael Nozik, Jennifer Fox","George Clooney, Matt Damon, Jeffrey Wright, Chris Cooper, Amanda Peet, William Hurt, Christopher Plummer, Alexander Siddig, Nicky Henson, Tim Blake Nelson, Jocelyn Quivrin, Mazhar Munir, Kayvan Novak, Amr Waked, Robert Foxworth, Nicholas Art, Steven Hinkle, Daisy Tormé, Peter Gerety, Jamey Sheridan, Thomas McCarthy, Shahid Ahmed, Max Minghella, David Clennon, Mark Strong, Susan Allenback, Richard Lintern, Roger Yuan, Katie Foster, Bikram Singh Bhamra, Jayne Atkinson, Randall Boffman, Tony French, Nadim Sawalha, Ozzie Yue, Akbar Kurtha, Sonnell Dadral, Jon Lee Anderson, Othman Bin Hendi, Bashar Atiyat, Ali Al Amine, William Charles Mitchell, Ahmed Aa Mohammed, Ahmed Ayoub, Mohammed Asad Khan, Atta Mohammed Saleh, Aziz Zacca, Omar Mostafa, Saïd Amadis, David J. Manners, Jamil Jabbar, Badria Timimi, Mohamed Majd, Driss Roukhe, Katherine Hoskins Mackey, Linda E. Williams, William L. Thomas, El Mahjoub Raji, Michael Stone Forrest, Robert Baer, Fritz Michel, Bob Fajkowski, Jeff Baker, Tarik Tamzali, Mitesh Soni, Tootsie Duvall, Nabeel Noman, Ryan Murphy, Will McCormack, Donna Mitchell, James Plannette, Michael Allinson, Matt Cannon, Tom Cutler, Viola Davis, Bruce Allen Dawson, Paul Fahrenkopf, Alan Gates, Tyler Gatton, Anna George, Wendy Kush, Kirk Lambert, Charles McClelland, Kerry Meushaw, David Michie, Lauren Minite, Johnny Pitrelli, Bahar Soomekh, Sally Spaide, Alexander von Roon, Don Whatley, Cynthia Nixon, Matt LeBlanc, Christopher McDonald, Luke Barnett"
